filepath,label
data/MonkeyPox/mkp_007_aug_0.jpg,MonkeyPox
data/MonkeyPox/mkp_077_aug_0.jpg,MonkeyPox
data/MonkeyPox/mkp_087_aug_2.jpg,MonkeyPox
data/MonkeyPox/mkp_104_aug_4.jpg,MonkeyPox
data/MonkeyPox/mkp_025_aug_4.jpg,MonkeyPox
data/MonkeyPox/mkp_005_aug_2.jpg,MonkeyPox
data/MonkeyPox/mkp_124_aug_4.jpg,MonkeyPox
data/MonkeyPox/mkp_081_aug_4.jpg,MonkeyPox
data/MonkeyPox/mkp_069_aug_4.jpg,MonkeyPox
data/MonkeyPox/mkp_081_aug_1.jpg,MonkeyPox
data/MonkeyPox/mkp_022_aug_4.jpg,MonkeyPox
data/MonkeyPox/mkp_024_aug_4.jpg,MonkeyPox
data/MonkeyPox/mkp_100_aug_0.jpg,MonkeyPox
data/MonkeyPox/mkp_083_aug_4.jpg,MonkeyPox
data/MonkeyPox/mkp_025_aug_3.jpg,MonkeyPox
data/MonkeyPox/mkp_035_aug_2.jpg,MonkeyPox
data/MonkeyPox/mkp_050_aug_0.jpg,MonkeyPox
data/MonkeyPox/mkp_122_aug_1.jpg,MonkeyPox
data/MonkeyPox/mkp_120_aug_4.jpg,MonkeyPox
data/MonkeyPox/mkp_090_aug_1.jpg,MonkeyPox
data/MonkeyPox/mkp_114_aug_2.jpg,MonkeyPox
data/MonkeyPox/mkp_076_aug_3.jpg,MonkeyPox
data/MonkeyPox/mkp_020_aug_3.jpg,MonkeyPox
data/MonkeyPox/mkp_082_aug_1.jpg,MonkeyPox
data/MonkeyPox/mkp_020_aug_4.jpg,MonkeyPox
data/MonkeyPox/mkp_110_aug_0.jpg,MonkeyPox
data/MonkeyPox/mkp_006_aug_0.jpg,MonkeyPox
data/MonkeyPox/mkp_130_aug_1.jpg,MonkeyPox
data/MonkeyPox/mkp_110_aug_3.jpg,MonkeyPox
data/MonkeyPox/mkp_086_aug_3.jpg,MonkeyPox
data/MonkeyPox/mkp_017_aug_1.jpg,MonkeyPox
data/MonkeyPox/mkp_132_aug_1.jpg,MonkeyPox
data/MonkeyPox/mkp_133_aug_0.jpg,MonkeyPox
data/MonkeyPox/mkp_117_aug_3.jpg,MonkeyPox
data/MonkeyPox/mkp_126_aug_0.jpg,MonkeyPox
data/MonkeyPox/mkp_126_aug_1.jpg,MonkeyPox
data/MonkeyPox/mkp_108_aug_3.jpg,MonkeyPox
data/MonkeyPox/mkp_019_aug_4.jpg,MonkeyPox
data/MonkeyPox/mkp_131_aug_3.jpg,MonkeyPox
data/MonkeyPox/mkp_046_aug_2.jpg,MonkeyPox
data/MonkeyPox/mkp_036_aug_1.jpg,MonkeyPox
data/MonkeyPox/mkp_044_aug_3.jpg,MonkeyPox
data/MonkeyPox/mkp_112_aug_0.jpg,MonkeyPox
data/MonkeyPox/mkp_112_aug_2.jpg,MonkeyPox
data/MonkeyPox/mkp_068_aug_4.jpg,MonkeyPox
data/MonkeyPox/mkp_124_aug_1.jpg,MonkeyPox
data/MonkeyPox/mkp_132_aug_0.jpg,MonkeyPox
data/MonkeyPox/mkp_019_aug_3.jpg,MonkeyPox
data/MonkeyPox/mkp_108_aug_2.jpg,MonkeyPox
data/MonkeyPox/mkp_089_aug_0.jpg,MonkeyPox
data/MonkeyPox/mkp_068_aug_3.jpg,MonkeyPox
data/MonkeyPox/mkp_094_aug_1.jpg,MonkeyPox
data/MonkeyPox/mkp_056_aug_2.jpg,MonkeyPox
data/MonkeyPox/mkp_027_aug_0.jpg,MonkeyPox
data/MonkeyPox/mkp_101_aug_4.jpg,MonkeyPox
data/MonkeyPox/mkp_056_aug_4.jpg,MonkeyPox
data/MonkeyPox/mkp_032_aug_3.jpg,MonkeyPox
data/MonkeyPox/mkp_037_aug_1.jpg,MonkeyPox
data/MonkeyPox/mkp_101_aug_1.jpg,MonkeyPox
data/MonkeyPox/mkp_022_aug_0.jpg,MonkeyPox
data/MonkeyPox/mkp_035_aug_1.jpg,MonkeyPox
data/MonkeyPox/mkp_136_aug_4.jpg,MonkeyPox
data/MonkeyPox/mkp_022_aug_3.jpg,MonkeyPox
data/MonkeyPox/mkp_118_aug_2.jpg,MonkeyPox
data/MonkeyPox/mkp_132_aug_2.jpg,MonkeyPox
data/MonkeyPox/mkp_041_aug_0.jpg,MonkeyPox
data/MonkeyPox/mkp_031_aug_0.jpg,MonkeyPox
data/MonkeyPox/mkp_001_aug_3.jpg,MonkeyPox
data/MonkeyPox/mkp_040_aug_0.jpg,MonkeyPox
data/MonkeyPox/mkp_085_aug_4.jpg,MonkeyPox
data/MonkeyPox/mkp_118_aug_4.jpg,MonkeyPox
data/MonkeyPox/mkp_123_aug_0.jpg,MonkeyPox
data/MonkeyPox/mkp_091_aug_0.jpg,MonkeyPox
data/MonkeyPox/mkp_006_aug_1.jpg,MonkeyPox
data/MonkeyPox/mkp_021_aug_2.jpg,MonkeyPox
data/MonkeyPox/mkp_041_aug_4.jpg,MonkeyPox
data/MonkeyPox/mkp_094_aug_2.jpg,MonkeyPox
data/MonkeyPox/mkp_075_aug_2.jpg,MonkeyPox
data/MonkeyPox/mkp_130_aug_2.jpg,MonkeyPox
data/MonkeyPox/mkp_076_aug_4.jpg,MonkeyPox
data/MonkeyPox/mkp_074_aug_0.jpg,MonkeyPox
data/MonkeyPox/mkp_026_aug_4.jpg,MonkeyPox
data/MonkeyPox/mkp_025_aug_2.jpg,MonkeyPox
data/MonkeyPox/mkp_038_aug_1.jpg,MonkeyPox
data/MonkeyPox/mkp_126_aug_3.jpg,MonkeyPox
data/MonkeyPox/mkp_106_aug_1.jpg,MonkeyPox
data/MonkeyPox/mkp_039_aug_0.jpg,MonkeyPox
data/MonkeyPox/mkp_121_aug_0.jpg,MonkeyPox
data/MonkeyPox/mkp_136_aug_3.jpg,MonkeyPox
data/MonkeyPox/mkp_090_aug_2.jpg,MonkeyPox
data/MonkeyPox/mkp_004_aug_1.jpg,MonkeyPox
data/MonkeyPox/mkp_081_aug_3.jpg,MonkeyPox
data/MonkeyPox/mkp_044_aug_4.jpg,MonkeyPox
data/MonkeyPox/mkp_036_aug_4.jpg,MonkeyPox
data/MonkeyPox/mkp_029_aug_1.jpg,MonkeyPox
data/MonkeyPox/mkp_120_aug_2.jpg,MonkeyPox
data/MonkeyPox/mkp_071_aug_0.jpg,MonkeyPox
data/MonkeyPox/mkp_117_aug_4.jpg,MonkeyPox
data/MonkeyPox/mkp_128_aug_4.jpg,MonkeyPox
data/MonkeyPox/mkp_042_aug_2.jpg,MonkeyPox
